,name,url_ext,color
0,Southeastern La.,https://www.ncaa.com/schools/southeastern-la,#f3b800
1,St. Bonaventure,https://www.ncaa.com/schools/st-bonaventure,#714432
2,St. Mary's (Cal.),https://www.ncaa.com/schools/st-marys-ca,#06315b
3,Louisville,https://www.ncaa.com/schools/louisville,#AD0000
4,USC,https://www.ncaa.com/schools/southern-california,#990000
5,Rider,https://www.ncaa.com/schools/rider,#bb1c30
6,Boston College,https://www.ncaa.com/schools/boston-college,#98002e
7,Western Ky.,https://www.ncaa.com/schools/western-ky,#d41a00
8,UNC Asheville,https://www.ncaa.com/schools/unc-asheville,#006096
9,Oregon,https://www.ncaa.com/schools/oregon,#004F27
10,LIU Brooklyn,https://www.ncaa.com/schools/long-island,#0064ee
11,Vermont,https://www.ncaa.com/schools/vermont,#005030
12,Middle Tenn.,https://www.ncaa.com/schools/middle-tenn,#0047aa
13,Utah Valley,https://www.ncaa.com/schools/utah-valley,#00460f
14,Baylor,https://www.ncaa.com/schools/baylor,#083a27
15,Oklahoma State,https://www.ncaa.com/schools/oklahoma-st,#FF6600
16,Radford,https://www.ncaa.com/schools/radford,#e13a3e
17,Notre Dame,https://www.ncaa.com/schools/notre-dame,#002b5c
18,Northern Kentucky,https://www.ncaa.com/schools/northern-ky,#141414
19,Hampton,https://www.ncaa.com/schools/hampton,#000099
20,FGCU,https://www.ncaa.com/schools/fgcu,
21,Wagner,https://www.ncaa.com/schools/wagner,#336356
22,UCLA,https://www.ncaa.com/schools/ucla,#0072cf
23,Eastern Wash.,https://www.ncaa.com/schools/eastern-wash,#e60900
24,Colgate,https://www.ncaa.com/schools/colgate,#a50334
25,Illinois-Chicago,https://www.ncaa.com/schools/ill-chicago,#CC3333
26,Mississippi St.,https://www.ncaa.com/schools/mississippi-st,#660000
27,UTSA,https://www.ncaa.com/schools/utsa,#fe7502
28,San Francisco,https://www.ncaa.com/schools/san-francisco,#254929
29,Miami (Ohio),https://www.ncaa.com/schools/miami-oh,#d51a00
30,Louisiana,https://www.ncaa.com/schools/la-lafayette,#993333
31,Temple,https://www.ncaa.com/schools/temple,#9e1b32
32,Seattle U,https://www.ncaa.com/schools/seattle,#c3362e
33,Penn St.,https://www.ncaa.com/schools/penn-st,#002147
34,UC Davis,https://www.ncaa.com/schools/uc-davis,#002855
35,UTRGV,https://www.ncaa.com/schools/utrgv,#006f3c
36,Utah,https://www.ncaa.com/schools/utah,#cc0000
37,Lamar University,https://www.ncaa.com/schools/lamar,#ec2a31
38,LSU,https://www.ncaa.com/schools/lsu,#461D7C
39,N.C. Central,https://www.ncaa.com/schools/nc-central,#880023
40,Eastern Mich.,https://www.ncaa.com/schools/eastern-mich,#007c4e
41,Syracuse,https://www.ncaa.com/schools/syracuse,#ff5113
42,Jacksonville St.,https://www.ncaa.com/schools/jacksonville-st,#be0f34
43,Grand Canyon,https://www.ncaa.com/schools/grand-canyon,#4e0c76
44,Stanford,https://www.ncaa.com/schools/stanford,#8C1515
45,Canisius,https://www.ncaa.com/schools/canisius,#eaac18
46,BYU,https://www.ncaa.com/schools/byu,#002255
47,Nebraska,https://www.ncaa.com/schools/nebraska,#cc092f
48,South Dakota,https://www.ncaa.com/schools/south-dakota,#ff2310
49,Arizona St.,https://www.ncaa.com/schools/arizona-st,#8b2346
50,Marquette,https://www.ncaa.com/schools/marquette,#003366
51,Central Ark.,https://www.ncaa.com/schools/central-ark,#53327d
52,Texas Southern,https://www.ncaa.com/schools/texas-southern,#70283e
53,Harvard,https://www.ncaa.com/schools/harvard,#A41034
54,St. Francis (Pa.),https://www.ncaa.com/schools/st-francis-pa,#a31100
55,Washington,https://www.ncaa.com/schools/washington,#39275B
56,New Orleans,https://www.ncaa.com/schools/new-orleans,#005ca6
57,Niagara,https://www.ncaa.com/schools/niagara,#502d7f
58,Campbell,https://www.ncaa.com/schools/campbell,#fa9223
59,North Texas,https://www.ncaa.com/schools/north-texas,#00622e
60,Mercer,https://www.ncaa.com/schools/mercer,#e45c06
61,Boise State,https://www.ncaa.com/schools/boise-st,#0033a1
62,San Diego State,https://www.ncaa.com/schools/san-diego-st,#A81933
63,Villanova,https://www.ncaa.com/schools/villanova,#003366
64,Oklahoma,https://www.ncaa.com/schools/oklahoma,#B30838
65,Miami (Fla.),https://www.ncaa.com/schools/miami-fl,#005030
66,Penn,https://www.ncaa.com/schools/penn,#ae223e
67,Loyola Chicago,https://www.ncaa.com/schools/loyola-il,#eb9f00
68,Davidson,https://www.ncaa.com/schools/davidson,#cc092f
69,Tennessee,https://www.ncaa.com/schools/tennessee,#f77f00
70,Arizona,https://www.ncaa.com/schools/arizona,#003366
71,Michigan,https://www.ncaa.com/schools/michigan,#003976
72,Kansas,https://www.ncaa.com/schools/kansas,#006ab5
73,UNCG,https://www.ncaa.com/schools/unc-greensboro,#003c79
74,Houston,https://www.ncaa.com/schools/houston,#CC0000
75,Florida,https://www.ncaa.com/schools/florida,#003488
76,Kentucky,https://www.ncaa.com/schools/kentucky,#005DAA
77,Rhode Island,https://www.ncaa.com/schools/rhode-island,#004990
78,Austin Peay,https://www.ncaa.com/schools/austin-peay,#C41E3A
79,Alabama,https://www.ncaa.com/schools/alabama,#a32136
80,Buffalo,https://www.ncaa.com/schools/buffalo,#004179
81,NC State,https://www.ncaa.com/schools/north-carolina-st,#CC0000
82,Duke,https://www.ncaa.com/schools/duke,#00529b
83,La.-Monroe,https://www.ncaa.com/schools/la-monroe,#bc9131
84,South Dakota St.,https://www.ncaa.com/schools/south-dakota-st,#0039a6
85,Seton Hall,https://www.ncaa.com/schools/seton-hall,#004488
